name:ID,aircraft,:LABEL
166,“鹰”200轻型多用途战斗机,“鹰”200轻型多用途战斗机
167,A-1“推进者”,A-1“推进者”
168,波音B-9单翼轰炸机,波音B-9单翼轰炸机
169,AMX攻击战斗机,AMX攻击战斗机
170,波音C型	,波音C型	
171,X-47“飞马”战术无人驾驶作战飞机,X-47“飞马”战术无人驾驶作战飞机
172,波音H-47 双发多功能通用运输机,波音H-47 双发多功能通用运输机
173,YC-43“旅行家”联络机,YC-43“旅行家”联络机
174,C/KC-97“同温层货船/同温层油船”,C/KC-97“同温层货船/同温层油船”
175, RQ-8“火力侦察兵”, RQ-8“火力侦察兵”
176,波音H-46 双发多功能通用直升机,波音H-46 双发多功能通用直升机
177,寇蒂斯HS系列,寇蒂斯HS系列
178,XP-26“玩具枪”单座单翼战斗机,XP-26“玩具枪”单座单翼战斗机
179,寇蒂斯R系列	鱼雷轰炸机,寇蒂斯R系列	鱼雷轰炸机
180,波音PW-9单座单发双翼战斗机,波音PW-9单座单发双翼战斗机
181,JN-4“詹尼”,JN-4“詹尼”
182,法国航宇公司SA 313/315 通用直升机,法国航宇公司SA 313/315 通用直升机
183,英国航宇 FRS.51喷气式战斗攻击机,英国航宇 FRS.51喷气式战斗攻击机
184,“F飞船”,“F飞船”
185,EH101 “灰背隼”多用途直升机,EH101 “灰背隼”多用途直升机
186,波音F2B-1战斗机,波音F2B-1战斗机
187,贝尔 214通用直升机,贝尔 214通用直升机
188,SE 5a/E战斗机,SE 5a/E战斗机
189,歼-7型战斗机,歼-7型战斗机
190,柏林纳-乔伊斯OJ-2侦察机,柏林纳-乔伊斯OJ-2侦察机
191,寇蒂斯H-12/16,寇蒂斯H-12/16
192,TA-1单翼运输机,TA-1单翼运输机
193,SA330“美洲豹”双发中型多用途运输直升机,SA330“美洲豹”双发中型多用途运输直升机
194,波音FB-1,波音FB-1
195,SA 321 “超黄蜂”重型运输直升机,SA 321 “超黄蜂”重型运输直升机
196,NB-1双座双翼初级教练机,NB-1双座双翼初级教练机
197,EMB-312 “巨嘴鸟”教练机,EMB-312 “巨嘴鸟”教练机
198,图-22M“逆火 MRA轰炸机和电子战飞机,图-22M“逆火 MRA轰炸机和电子战飞机
199,ALH“北极星”多用途通用直升机,ALH“北极星”多用途通用直升机
200,苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机,苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机
201,“幻影”Ⅲ/5/50喷气战斗机,“幻影”Ⅲ/5/50喷气战斗机
202,AS 532“美洲狮”中型运输直升机,AS 532“美洲狮”中型运输直升机
203,T-45“苍鹰”中级/高级喷气教练机,T-45“苍鹰”中级/高级喷气教练机
204,歼-10战斗机,歼-10战斗机
205,阿古斯塔A-109轻型通用直升机,阿古斯塔A-109轻型通用直升机
206,波音F4B-1战斗机,波音F4B-1战斗机
207,SA 341/42“小羚羊”轻型多用途直升机,SA 341/42“小羚羊”轻型多用途直升机
208,“幻影”2000D/N攻击机,“幻影”2000D/N攻击机
209,雅克-130 高级教练机,雅克-130 高级教练机
210,卡-25“激素”海军型直升机,卡-25“激素”海军型直升机
211,T67 “萤火虫”基础教练机,T67 “萤火虫”基础教练机
212,AS 565“黑豹”通用直升机,AS 565“黑豹”通用直升机
213,图-160“海盗旗” 远程轰炸机,图-160“海盗旗” 远程轰炸机
214,“幻影”2000防空／多用途战斗机,“幻影”2000防空／多用途战斗机
215,米格-AT 高级教练机,米格-AT 高级教练机
216,AS 665“虎”式多用途战斗直升机,AS 665“虎”式多用途战斗直升机
217,图-95/图-142“熊” 远程轰炸机和海上侦察攻击机,图-95/图-142“熊” 远程轰炸机和海上侦察攻击机
218,AS 550/555“松鼠”/“小狐”轻型通用直升机,AS 550/555“松鼠”/“小狐”轻型通用直升机
219,幻影F1战斗机,幻影F1战斗机
220,F9F战斗机,F9F战斗机
221,C-130/KC-130/EC-130“大力神”运输机 ,C-130/KC-130/EC-130“大力神”运输机 
222,EF2000“台风”战斗机,EF2000“台风”战斗机
223,“堪培拉” 轰炸机/入侵飞机/侦察机,“堪培拉” 轰炸机/入侵飞机/侦察机
224,超级军旗攻击机,超级军旗攻击机
225,EMB-314M（A-29）“超巨嘴鸟” ,EMB-314M（A-29）“超巨嘴鸟” 
226,初教-6A基础教练机,初教-6A基础教练机
227,阵风战斗机,阵风战斗机
228,SOKO G-4“超海鸥” 喷气式武装教练机,SOKO G-4“超海鸥” 喷气式武装教练机
229,SH-2G“超海妖”轻型机载多用途直升机,SH-2G“超海妖”轻型机载多用途直升机
230,沃特(N-G)A-7“海盗Ⅱ”,沃特(N-G)A-7“海盗Ⅱ”
231,卡-27/-28/-32舰载反潜直升机,卡-27/-28/-32舰载反潜直升机
232,F-14“雄猫”战斗机,F-14“雄猫”战斗机
233,F-94“星火”战斗机,F-94“星火”战斗机
234,F-80/TO/TV“流星”喷射战斗机,F-80/TO/TV“流星”喷射战斗机
235,A-6“入侵者”攻击机,A-6“入侵者”攻击机
236,C-21优先空运飞机／医疗救助飞机,C-21优先空运飞机／医疗救助飞机
237,UF-1/2和U-16“信天翁”反潜机,UF-1/2和U-16“信天翁”反潜机
238,AU-24“公马”攻击机	,AU-24“公马”攻击机	
239,洛克希德-马丁C-130J“大力神” 95座四发战术运输机,洛克希德-马丁C-130J“大力神” 95座四发战术运输机
240,AF-2“守护者”反潜机,AF-2“守护者”反潜机
241,C-2“灰狗”运输机,C-2“灰狗”运输机
242,F9F-9“美洲狮”轰炸机,F9F-9“美洲狮”轰炸机
243,F8F“熊猫”战斗轰炸机,F8F“熊猫”战斗轰炸机
244,F-117“夜鹰”,F-117“夜鹰”
245,EA-6A/B“徘徊者”,EA-6A/B“徘徊者”
246,F4D/F-6“天光”战斗机,F4D/F-6“天光”战斗机
247,C-123“供应者”,C-123“供应者”
248,洛克希德F-104“星战斗机”,洛克希德F-104“星战斗机”
249,P2V/P-2“海王星”	,P2V/P-2“海王星”	
250,A-10“雷电II”,A-10“雷电II”
251,C-82“邮船”和C-119/R4Q“飞行车厢”,C-82“邮船”和C-119/R4Q“飞行车厢”
252,T2V/T-1“海星”	,T2V/T-1“海星”	
253,"F11F/F-11'“虎""","F11F/F-11'“虎"""
254,C-141“举重星” ,C-141“举重星” 
255,F/FB/EF-111战斗轰炸机,F/FB/EF-111战斗轰炸机
256,S2F/S-2“追踪者”,S2F/S-2“追踪者”
257,C-140“喷气星”,C-140“喷气星”
258,C-5“银河”,C-5“银河”
259,U-2/TR-1 单座单发侦察机,U-2/TR-1 单座单发侦察机
260,TC/VC-4“湾流I”	,TC/VC-4“湾流I”	
261,C-124“环球霸王”,C-124“环球霸王”
262,OV-1“莫霍克”,OV-1“莫霍克”
263,C-11/20/37”湾流“	,C-11/20/37”湾流“	
264,C-133“货运霸王”,C-133“货运霸王”
265,T-33/TV-2 ,T-33/TV-2 
266,F3D/F-10“空中骑士”,F3D/F-10“空中骑士”
267,C-69/C-121“星座“/”预警星”	,C-69/C-121“星座“/”预警星”	
268,AJ/A-2“野人”	,AJ/A-2“野人”	
269,P5M/P-5“枪鱼”海上运输飞艇,P5M/P-5“枪鱼”海上运输飞艇
270,F/RF-101E“魔术师”,F/RF-101E“魔术师”
271,KC-10“补充者”,KC-10“补充者”
